serialno,RT,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,CIT,CITWP05,CITWP12,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP05,MARHYP12,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP05,YOEP12,ANC,ANC1P05,ANC1P12,ANC2P05,ANC2P12,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP05,LANP12,MIGPUMA00,MIGPUMA10,MIGSP05,MIGSP12,MSP,NAICSP,NATIVITY,NOP,OC,OCCP02,OCCP10,OCCP12,PAOC,PERNP,PINCP,POBP05,POBP12,POVPIP,POWPUMA00,POWPUMA10,POWSP05,POWSP12,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P05,RAC2P12,RAC3P05,RAC3P12,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP00,SOCP10,SOCP12,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80
2009000315955,P,01,00903,-0009,01,1085467,00013,22,1,,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,000000,006,01,01,2,1,2,1,1,2,2009,-009,3,4,,,,,,,,,,2,5,2,2,2,000000,00000,00,000000,3,15,21,000000,1,00000,00000,025000,35,1,1,1,,,1,087,-09,999,-09,,2,1,,1,5501,,1,01,0570,080,040,,,00900,-0009,001,-09,1,2211P,1,,0,1000,N.A.,N.A.,,000025000,000025000,001,-09,195,00900,-0009,001,-09,1,2,2,1,01,-9,69,-09,0,0,0,0,1,0,1,0,1,2,,,1510XX,N.A.//,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,00003,00026,00013,00004,00011,00016,00013,00024,00003,00020,00004,00023,00016,00014,00013,00005,00014,00027,00011,00003,00017,00014,00025,00013,00004,00003,00004,00013,00013,00011,00016,00016,00023,00021,00022,00013,00004,00014,00024,00013,00004,00023,00014,00004,00013,00015,00012,00023,00003,00022,00004,00020,00012,00013,00019,00005,00012,00020,00010,00003,00014,00013,00022,00013,00003,00004,00004,00013,00016,00015,00013,00012,00023,00022,00025,00017,00004,00018,00024,00011
2009001166128,P,01,00200,-0009,01,1085467,00015,25,1,,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,000000,010,01,01,2,5,,,,,,,3,4,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,2,16,21,000000,2,00000,00000,039000,42,1,1,1,,,2,050,-09,176,-09,,2,1,,1,5501,3700,1,01,3590,092,051,,,00290,-0009,001,-09,6,33641M2,1,,0,0150,N.A.,N.A.,4,000039000,000039000,048,-09,350,00200,-0009,001,-09,1,2,4,1,01,-9,69,-09,0,0,0,0,1,0,1,0,1,2,,,113061,N.A.//,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,00018,00006,00017,00024,00016,00004,00006,00013,00016,00003,00033,00013,00028,00021,00012,00030,00004,00012,00017,00013,00016,00027,00020,00005,00018,00018,00023,00016,00015,00023,00005,00017,00004,00005,00012,00006,00031,00011,00016,00016,00014,00005,00017,00023,00012,00004,00004,00018,00014,00006,00028,00015,00029,00032,00015,00029,00005,00017,00014,00018,00012,00022,00015,00004,00012,00028,00029,00013,00016,00029,00005,00012,00005,00004,00019,00005,00021,00014,00014,00021
2010000378567,P,01,01700,-0009,01,1076540,00015,24,5,,,4,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,000000,,,,2,5,,,,,,,3,4,,,,,,,,,,2,5,2,2,3,000000,00000,00,000000,2,16,21,000000,1,00000,00000,005200,20,1,5,2,2009,-009,1,795,-09,999,-09,7,2,,,6,5501,,1,01,7870,,,,,01700,-0009,001,-09,6,611M1,2,,0,N.A.,2200,N.A.,,000005200,000005200,207,-09,046,,,,,1,2,1,6,43,-9,26,-09,0,1,0,0,1,0,0,0,1,2,,,N.A.//,251000,N.A.//,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,00020,00005,00005,00028,00021,00007,00019,00015,00006,00003,00023,00010,00027,00013,00013,00021,00024,00034,00012,00019,00017,00004,00004,00026,00029,00004,00015,00019,00007,00005,00016,00014,00027,00018,00015,00013,00012,00015,00014,00019,00010,00022,00024,00005,00006,00035,00014,00004,00022,00023,00021,00013,00003,00008,00015,00016,00021,00006,00011,00023,00022,00021,00026,00006,00006,00022,00032,00005,00024,00036,00015,00017,00005,00011,00013,00017,00018,00004,00013,00018
2010000600679,P,01,01400,-0009,01,1076540,00019,22,1,,,1,2,2,2,2,2,,,2,,2,,,,2,1,2,2,2,2,2,000000,010,01,01,2,5,,,,,,,1,4,,,,,,,,,,2,1,2,2,2,000000,00000,00,000000,2,15,21,000000,2,00000,00000,007500,20,1,1,1,,,2,050,-09,022,-09,,2,1,,1,3702,5501,1,01,7870,108,067,,,,,,,6,611M1,1,,0,N.A.,5700,N.A.,4,000007500,000007500,001,-09,067,01400,-0009,001,-09,1,2,3,1,01,-9,69,-09,0,0,0,0,1,0,1,0,1,2,,,N.A.//,436010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00006,00028,00018,00015,00025,00006,00005,00030,00006,00016,00017,00025,00035,00031,00017,00019,00006,00030,00016,00041,00020,00005,00007,00028,00030,00018,00019,00020,00027,00006,00027,00020,00016,00017,00007,00029,00018,00020,00005,00034,00022,00006,00007,00028,00036,00018,00018,00018,00019,00005,00032,00013,00017,00017,00006,00029,00020,00022,00006,00017,00005,00020,00022,00022,00021,00007,00005,00027,00005,00018,00014,00028,00021,00028,00019,00020,00006,00029,00023,00020
2010001332577,P,01,01700,-0009,01,1076540,00003,22,1,,,1,2,2,2,2,2,,,2,,,,,,2,1,2,2,2,2,2,000010,010,01,01,2,1,2,1,1,2,2010,-009,1,4,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,2,15,21,000000,1,00000,00000,003000,30,1,5,1,,,1,919,-09,999,-09,,2,1,,1,5501,,1,01,4970,190,114,,,,,,,1,4451,1,,0,N.A.,5620,N.A.,,000003000,000003010,001,-09,069,01700,-0009,001,-09,1,2,3,1,01,-9,69,-09,0,0,0,0,1,0,1,0,1,2,,,N.A.//,435081,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00003,00005,00005,00002,00000,00004,00000,00003,00002,00002,00003,00003,00002,00004,00001,00003,00003,00001,00001,00003,00001,00003,00002,00001,00003,00002,00002,00001,00003,00006,00004,00004,00001,00003,00002,00005,00001,00002,00002,00004,00003,00005,00005,00002,00001,00004,00001,00002,00003,00002,00003,00003,00003,00003,00002,00003,00003,00000,00000,00003,00001,00002,00003,00001,00002,00002,00003,00001,00004,00004,00004,00004,00001,00002,00002,00004,00001,00003,00003,00005
2011000921181,P,01,00600,-0009,01,1054614,00012,27,1,,,5,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,000050,030,01,01,2,3,2,2,1,2,2005,-009,3,4,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,3,16,21,000000,1,00000,00000,040000,40,1,1,1,,,1,088,-09,999,-09,,2,1,,1,6207,5501,1,01,9570,082,037,,,01890,-0009,047,-09,4,92M2,1,,0,N.A.,0530,N.A.,,000040000,000040050,022,-09,352,00200,-0009,001,-09,1,2,3,1,01,-9,69,-09,0,0,0,0,1,0,1,0,1,2,,,N.A.//,131023,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00014,00004,00011,00019,00022,00016,00013,00008,00014,00014,00013,00004,00004,00003,00014,00019,00017,00002,00010,00003,00009,00017,00010,00003,00004,00003,00014,00009,00009,00011,00014,00033,00021,00029,00012,00004,00014,00024,00016,00004,00011,00020,00011,00004,00002,00004,00011,00011,00013,00010,00010,00027,00019,00026,00013,00004,00017,00019,00013,00024,00012,00003,00010,00019,00024,00021,00011,00012,00014,00009,00012,00003,00005,00004,00014,00021,00013,00004,00009,00017
2012000345114,P,03,-0009,01800,01,1024887,00044,24,1,,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,000000,,,,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,000000,00000,02,000000,2,16,21,000000,1,00000,00000,000000,,3,,,,,4,-09,999,-09,999,,2,,,6,5501,,1,01,,,,,,,,,,6,,1,,0,,,,,000000000,000000000,-09,001,363,,,,,1,2,2,1,-9,01,-9,001,0,0,0,0,1,0,1,0,1,2,,,,,,,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,,1,,1,,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,00013,00045,00069,00033,00035,00087,00042,00021,00023,00010,00050,00059,00036,00065,00043,00067,00053,00055,00050,00013,00014,00065,00030,00033,00039,00058,00054,00012,00018,00015,00045,00043,00040,00035,00052,00102,00068,00076,00043,00085,00093,00060,00014,00039,00034,00011,00047,00048,00054,00075,00057,00052,00045,00030,00032,00012,00015,00015,00058,00049,00093,00030,00011,00047,00047,00015,00033,00064,00049,00091,00050,00041,00045,00057,00052,00011,00020,00023,00025,00009
2012000675136,P,01,-0009,02600,01,1024887,00044,28,1,,,5,2,2,2,2,2,,2,2,1,,,,,2,2,2,2,1,2,2,000000,020,01,01,1,5,,,,,,,3,1,1,0,0,0,0,0,0,0,0,2,5,2,2,2,000000,00000,00,000000,2,15,21,000000,1,00000,00000,022000,50,1,1,1,,,2,-09,050,-09,032,,2,1,,4,6207,5501,1,01,9780,074,031,-09,625,-0009,07300,-09,006,6,928110P5,1,,0,N.A.,N.A.,9820,,000022000,000022000,-09,034,185,-0009,02700,-09,001,1,2,4,1,-9,01,-9,001,0,0,0,0,1,0,1,0,1,2,,,N.A.//,N.A.//,553010,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,00068,00021,00052,00045,00011,00048,00042,00017,00071,00053,00036,00021,00080,00063,00065,00096,00013,00037,00038,00037,00016,00074,00053,00050,00061,00063,00047,00079,00043,00042,00050,00087,00017,00012,00014,00013,00053,00037,00034,00052,00097,00011,00043,00027,00016,00036,00039,00015,00038,00053,00045,00011,00079,00075,00098,00067,00015,00056,00050,00044,00016,00079,00053,00042,00087,00037,00035,00073,00044,00064,00050,00059,00014,00014,00013,00011,00080,00038,00057,00042
2013001092096,P,01,-0009,01302,01,1007549,00012,22,1,,,2,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,000000,015,03,01,2,5,,,,,,,3,4,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,3,15,21,000000,2,00000,00000,000600,30,1,6,1,,,1,-09,195,-09,999,,2,3,,1,5501,4801,1,01,9170,091,049,,,-0009,03100,-09,037,6,813M,1,,0,N.A.,N.A.,2010,4,000000600,000000600,-09,033,004,-0009,01300,-09,001,1,2,4,1,-9,01,-9,001,0,0,0,0,1,0,1,0,1,2,,,N.A.//,N.A.//,211020,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00012,00005,00012,00020,00013,00003,00004,00007,00011,00005,00023,00011,00020,00020,00010,00016,00004,00017,00016,00012,00009,00018,00014,00003,00015,00015,00021,00014,00012,00018,00004,00013,00004,00004,00013,00003,00021,00010,00012,00010,00014,00014,00013,00003,00009,00018,00018,00014,00012,00026,00004,00013,00003,00002,00010,00005,00030,00011,00016,00011,00013,00006,00011,00026,00015,00004,00004,00013,00013,00002,00017,00014,00021,00023,00011,00014,00004,00014,00010,00013
2013001185906,P,02,-0009,02100,01,1007549,00012,33,1,,,2,2,2,2,1,2,,,1,,2,2,,,2,2,2,2,2,2,2,000000,,,,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,000000,00000,02,000000,2,16,21,000000,2,00000,00000,035000,40,1,4,,,,4,-09,999,-09,999,,1,,,3,5501,,2,01,7870,,,,,,,,,6,611M1,1,,0,N.A.,N.A.,1107,4,000035000,000035000,-09,049,501,,,,,2,2,1,1,-9,01,-9,001,0,0,0,0,1,0,1,0,1,2,,,N.A.//,N.A.//,151199,,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,,1,,1,,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,00015,00013,00009,00009,00016,00011,00013,00004,00003,00023,00025,00004,00011,00023,00004,00004,00011,00013,00021,00011,00013,00010,00011,00014,00003,00012,00012,00019,00016,00005,00003,00020,00010,00004,00015,00014,00011,00011,00004,00011,00017,00011,00012,00010,00003,00010,00011,00022,00022,00005,00003,00018,00012,00003,00019,00022,00012,00012,00004,00011,00012,00011,00012,00010,00017,00013,00015,00004,00003,00019,00019,00004,00008,00014,00004,00002,00012,00011,00016,00009
