age,med,sd
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,3691.1489999999999,1078.1155634045504
26,15113.234999999999,3501.7132905213375
27,5382.6999999999998,6910.4693384148168
28,92239.830000000002,9829.0496382217098
29,21092.279999999999,6607.862691359458
30,51244.349999999999,7996.154862668267
31,75357.800000000003,10153.840624653971
32,58133.159999999996,4558.1366120457133
33,69975.099999999991,18794.133308539527
34,92239.830000000002,18560.251842772832
35,84369.119999999995,5857.546901585245
36,36911.489999999998,27400.07541025689
37,51673.919999999998,30003.643620585623
38,64483.135999999999,19674.097562632505
39,120905.87999999999,30876.666956521763
40,5124.4349999999995,33647.706013738287
41,119401.37,71042.224162332524
42,14111.071,0.0
43,25310.735999999997,-189314.48631563011
44,51244.349999999999,4272.5225315071657
45,11478.734399999999,37995.542662127635
46,14105.686,16023.663862895544
47,23253.263999999999,37489.134282084618
48,36911.489999999998,29522.152167742923
49,181358.81999999998,51577.078945241468
50,31638.419999999998,46102.915915862126
51,64592.399999999994,42851.669729676236
52,5124.4349999999995,39120.692031861639
53,5382.6999999999998,61988.694740271887
54,79941.186000000002,0.0
55,109679.856,0.0
56,68683.774999999994,0.0
57,12090.588,14709.278437500074
58,70555.354999999996,0.0
59,69469.887999999992,0.0
60,218178.867,48511.090987119984
61,32241.567999999999,0.0
62,34626.397299999997,0.0
63,161481.0,0.0
64,72768.365999999995,0.0
65,18408.833999999999,0.0
66,38598.8724,0.0
67,0.0,0.0
68,0.0,0.0
69,4611.9915000000001,0.0
