age,med,sd
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,21709.34,519.14701315873435
26,10765.4,589.75028432643285
27,42184.559999999998,4500.8459999999995
28,84634.115999999995,6901.1877170834669
29,78153.623999999996,6891.4844247438568
30,30746.609999999997,8152.6482043530359
31,20150.98,5154.2059576904558
32,58133.159999999996,8325.9519740627493
33,2518.8724999999999,10994.76417556106
34,47144.801999999996,6435.6632679207469
35,65490.684999999998,11113.556413008306
36,58437.841999999997,24923.860142050893
37,16398.191999999999,7396.1901169880748
38,69975.099999999991,32717.159106594616
39,32296.199999999997,7215.4534276481299
40,46675.080999999998,12470.519910429088
41,18706.8374,39787.805893061406
42,34449.279999999999,8960.9620392820034
43,1722.4639999999999,14312.24336264639
44,22547.513999999999,28068.203303595365
45,14210.328,25295.577945099998
46,25188.724999999999,13156.222086245523
47,40995.479999999996,23330.142824736584
48,85065.620999999999,25249.333317781187
49,51673.919999999998,6862.3448919502152
50,38286.862000000001,14970.91177116484
51,5427.335,-9546.3417725995387
52,48846.014999999999,26439.761950420856
53,64483.135999999999,35817.547754110732
54,42333.212999999996,41733.870600367758
55,36911.489999999998,32416.107078297646
56,118419.39999999999,40884.399047128121
57,3163.8419999999996,-23448.306915034136
58,483.62351999999998,63581.245925997893
59,9688.8599999999988,56361.345346689981
60,87532.962,0.0
61,112.73756999999999,0.0
62,84040.733999999997,0.0
63,61665.047999999995,0.0
64,306892.674,0.0
65,60452.939999999995,0.0
66,0.0,0.0
67,14710.215399999999,0.0
68,78041.436000000002,0.0
69,10854.67,0.0
